Devices
1200
,,Imported Kistler Force Plate 1.1.0.0 #2 - Force,,,Imported Kistler Force Plate 1.1.0.0 #2 - Moment,,,Imported Kistler Force Plate 1.1.0.0 #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
18,0,1.23364,3.53104,-713.481,8534.51,26071.2,-56.6821,776.541,278.038,0
18,1,1.23157,3.53285,-713.47,8535.32,26075.7,-57.0334,776.548,278.037,0
18,2,1.22898,3.5347,-713.458,8536.19,26079.8,-57.3438,776.554,278.035,0
18,3,1.22591,3.53657,-713.446,8537.12,26083.7,-57.6176,776.56,278.034,0
18,4,1.22237,3.53847,-713.434,8538.12,26087.4,-57.8591,776.566,278.032,0
18,5,1.2184,3.54041,-713.421,8539.18,26090.8,-58.0719,776.571,278.031,0
18,6,1.21402,3.54239,-713.408,8540.31,26093.9,-58.2581,776.576,278.029,0
18,7,1.20927,3.54442,-713.394,8541.52,26096.8,-58.4196,776.581,278.027,0
18,8,1.20417,3.54651,-713.381,8542.82,26099.4,-58.5584,776.585,278.025,0
18,9,1.19875,3.54866,-713.366,8544.23,26101.7,-58.6766,776.59,278.023,0
19,0,1.19303,3.55087,-713.352,8545.77,26103.8,-58.7764,776.593,278.02,0
19,1,1.18703,3.55316,-713.337,8547.43,26105.7,-58.8605,776.597,278.018,0
19,2,1.18077,3.55551,-713.321,8549.21,26107.2,-58.9327,776.6,278.015,0
19,3,1.17428,3.55793,-713.306,8551.12,26108.6,-58.9959,776.602,278.012,0
19,4,1.1676,3.56042,-713.29,8553.14,26109.7,-59.0519,776.605,278.009,0
19,5,1.16078,3.56297,-713.274,8555.25,26110.6,-59.1015,776.607,278.006,0
19,6,1.15388,3.56558,-713.258,8557.46,26111.2,-59.144,776.608,278.002,0
19,7,1.14696,3.56824,-713.242,8559.74,26111.8,-59.1779,776.61,277.999,0
19,8,1.14008,3.57092,-713.225,8562.06,26112.2,-59.2016,776.611,277.995,0
19,9,1.13329,3.5736,-713.208,8564.4,26112.4,-59.2139,776.613,277.992,0
20,0,1.12665,3.57624,-713.189,8566.75,26112.6,-59.213,776.614,277.988,0
20,1,1.1202,3.57883,-713.171,8569.09,26112.7,-59.1962,776.615,277.984,0
20,2,1.11399,3.58132,-713.151,8571.42,26112.8,-59.1604,776.616,277.981,0
20,3,1.10805,3.5837,-713.131,8573.72,26112.9,-59.1017,776.617,277.977,0
20,4,1.10243,3.58596,-713.11,8576.02,26113,-59.0164,776.618,277.974,0
20,5,1.09716,3.58807,-713.089,8578.3,26113.1,-58.901,776.62,277.97,0
20,6,1.09226,3.59003,-713.068,8580.58,26113.3,-58.7528,776.621,277.967,0
20,7,1.08775,3.59182,-713.046,8582.87,26113.5,-58.5691,776.622,277.963,0
20,8,1.08364,3.59343,-713.025,8585.18,26113.7,-58.3473,776.624,277.96,0
20,9,1.07993,3.59486,-713.004,8587.52,26114,-58.084,776.625,277.956,0
21,0,1.07662,3.5961,-712.984,8589.91,26114.4,-57.7751,776.627,277.952,0
21,1,1.0737,3.59716,-712.964,8592.35,26114.7,-57.4167,776.628,277.948,0
21,2,1.07116,3.59805,-712.944,8594.86,26115.1,-57.0064,776.63,277.945,0
21,3,1.06899,3.59878,-712.926,8597.46,26115.6,-56.5426,776.632,277.941,0
21,4,1.06718,3.59937,-712.909,8600.16,26116.1,-56.0246,776.633,277.937,0
21,5,1.06573,3.59983,-712.892,8602.99,26116.7,-55.4518,776.635,277.932,0
21,6,1.06461,3.60016,-712.877,8605.96,26117.3,-54.8237,776.637,277.928,0
21,7,1.06382,3.60037,-712.862,8609.1,26118,-54.1406,776.638,277.923,0
21,8,1.06337,3.60045,-712.849,8612.41,26118.8,-53.4037,776.64,277.918,0
21,9,1.06326,3.6004,-712.837,8615.88,26119.6,-52.6153,776.642,277.913,0
22,0,1.06349,3.60021,-712.826,8619.51,26120.5,-51.7784,776.644,277.908,0
